environment,genotype,observed
BRK_00,PI182561,66.0
BRK_00,PI382161,92.5
BRK_00,PI382167,72.0
BRK_00,PI81791,70.5
BRK_00,MN97039,65.5
BRK_00,MN97561,62.5
BRK_00,MN98037,63.5
BRK_00,MN98092,61.0
BRK_00,MN98208,80.0
BRK_00,MN98389,74.0
BRK_00,2375,71.0
BRK_00,ND2710,92.5
BRK_00,BACUP,66.5
BRK_00,WHEATON,65.0
BRK_01,PI104131,33.900000000000006
BRK_01,PI185380,30.5
BRK_01,PI349478,59.3
BRK_01,PI382140,48.4
BRK_01,MN99109,39.4
BRK_01,MN99112,38.2
BRK_01,MN99126,44.8
BRK_01,MN99192,40.5
BRK_01,MN99322,41.0
BRK_01,2375,36.0
BRK_01,ND2710,48.4
BRK_01,BACUP,45.6
BRK_01,WHEATON,22.299999999999997
BRK_02,PI163429,37.5
BRK_02,PI168727,45.6
BRK_02,PI345731,46.5
BRK_02,PI185843,57.5
BRK_02,PI264940,60.3
BRK_02,SD3533,46.3
BRK_02,MN00021,66.0
BRK_02,MN00173,43.2
BRK_02,MN00274,58.5
BRK_02,MN99225,64.2
BRK_02,MN99408,66.5
BRK_02,2375,48.2
BRK_02,ND2710,82.0
BRK_02,BACUP,59.2
BRK_02,WHEATON,39.5
BRK_03,BUCKAUSTRAL,61.8
BRK_03,KLEINCONDOR,65.2
BRK_03,ARTEMOWSKA,73.2
BRK_03,ALBIDUM43,39.5
BRK_03,SD3746,47.0
BRK_03,STEPNJACHKA,73.2
BRK_03,MN01116,58.0
BRK_03,MN01180,82.4
BRK_03,MN01281,81.7
BRK_03,MN99433-1,52.0
BRK_03,ND03_1-15,55.8
BRK_03,ND03_1-9,78.1
BRK_03,2375,61.8
BRK_03,ND2710,96.9
BRK_03,BACUP,85.4
BRK_03,WHEATON,21.200000000000003
BRK_04,MN00187-3,72.1233
BRK_04,MN01164,73.36670000000001
BRK_04,MN01NIL84-5-5-15,65.83330000000001
BRK_04,MN99220-4,57.89
BRK_04,MN99341-2-5,62.5
BRK_04,ND03_1-15,45.3333
BRK_04,ND03_1-9,56.7333
BRK_04,NDSW0345,47.8167
BRK_04,RUGBY,46.1333
BRK_04,2375,56.6667
BRK_04,ND2710,76.9833
BRK_04,BACUP,64.3133
BRK_04,WHEATON,41.9667
BRK_05,NDSW0350,58.3333
BRK_05,MN01057-3-1,78.91669999999999
BRK_05,MN01380-2-1,72.28999999999999
BRK_05,MN02051-1,69.94
BRK_05,MN02219-1,68.0067
BRK_05,MN02306-2,75.5567
BRK_05,NDSW0345,51.0
BRK_05,RUGBY,44.3333
BRK_05,2375,49.95
BRK_05,ND2710,75.3567
BRK_05,BACUP,67.38
BRK_05,WHEATON,50.65
BRK_06,WASKADA,79.925
BRK_06,CROMWELL,60.1667
BRK_06,MN02268-A-4,78.9417
BRK_06,TOM,80.825
BRK_06,NDSW0430,84.4167
BRK_06,MN00209-3-1,92.6833
BRK_06,MN02222-1,86.4667
BRK_06,RUGBY,40.3333
BRK_06,2375,79.9083
BRK_06,ND2710,87.8333
BRK_06,BACUP,78.425
BRK_06,WHEATON,44.6667
BRK_07,ES101,67.3666667
BRK_07,MN03013-3-2,62.0333333
BRK_07,MN03191-2-1,55.8333333
BRK_07,NDSW0430,70.66666670000001
BRK_07,MN00209-3-1,60.2666667
BRK_07,MN02222-1,68.16666670000001
BRK_07,RUGBY,61.6666667
BRK_07,BRICK,63.3333333
BRK_07,2375,57.9583333
BRK_07,ND2710,68.0
BRK_07,BACUP,62.725
BRK_07,WHEATON,27.166666699999993
BRK_09,FOREFRONT,57.1666667
BRK_09,SD4011,69.66666670000001
BRK_09,SD4027,64.83333329999999
BRK_09,SELECT,69.16666670000001
BRK_09,MN05152-1-1,65.33333329999999
BRK_09,MN06049-1-3,71.66666670000001
BRK_09,MN06202-3-1,60.0
BRK_09,MN06213-6-2-4,66.16666670000001
BRK_09,MN06219-2-2,53.1666667
BRK_09,2375,52.6666667
BRK_09,ND2710,71.5
BRK_09,BACUP,68.33333329999999
BRK_09,WHEATON,49.3333333
BRK_10,MT09SCAB16,60.45
BRK_10,MT09SCAB3,55.4166667
BRK_10,MT09SCAB5,54.7916667
BRK_10,MT09SCAB9,43.5
BRK_10,FN09-17017,85.2583333
BRK_10,FN09-17210,85.8
BRK_10,FN09-17213,91.25833333
BRK_10,FN09-17270,91.35833333
BRK_10,FN09-17275,92.10833333
BRK_10,MN06216-6-2-4,53.6666667
BRK_10,MN07049-7-3,86.925
BRK_10,MN07183-3,64.16666670000001
BRK_10,BW928,70.225
BRK_10,BRICK,89.22083334999999
BRK_10,2375,60.15
BRK_10,ND2710,73.5916667
BRK_10,BACUP,76.2333333
BRK_10,WHEATON,52.5
BRK_11,10EXP13-16,47.6666667
BRK_11,10EXP13-24,50.6666667
BRK_11,10EXP13-44,66.7666667
BRK_11,10EXP13-87,42.3333333
BRK_11,10EXPSW13-19,43.8333333
BRK_11,10EXPSW13-28,70.7166667
BRK_11,10EXPSW13-9,45.1666667
BRK_11,SD4313,73.2
BRK_11,SD4331,62.8416667
BRK_11,SD4337,47.5
BRK_11,SD4338,46.5
BRK_11,SD4343,60.8333333
BRK_11,MN07057-6-4,54.7833333
BRK_11,MN07167W-2-1,49.5
BRK_11,MN09023,49.95
BRK_11,MN09092,51.0
BRK_11,X00009-16,57.0
BRK_11,BW928,51.6666667
BRK_11,BRICK,75.2333333
BRK_11,2375,46.3333333
BRK_11,ND2710,60.5
BRK_11,BACUP,62.05
BRK_11,WHEATON,38.1666667
BRK_12,11EXP13-105,89.69166666699999
BRK_12,11EXP13-107,80.466666667
BRK_12,11EXP13-43,94.325
BRK_12,11EXP13-65,81.783333333
BRK_12,11EXP13-78,85.983333333
BRK_12,SD4361,85.708333333
BRK_12,SD4366,95.3166666667
BRK_12,SD4388,86.716666667
BRK_12,SD4394,83.075
BRK_12,SD4397,82.966666667
BRK_12,MN08166,85.033333333
BRK_12,MN08173,93.5666666667
BRK_12,MN09027,92.1666666667
BRK_12,MN09071,82.55
BRK_12,MN09121,93.1666666667
BRK_12,BW928,89.083333333
BRK_12,BRICK,88.9805555555667
BRK_12,2375,96.1916666667
BRK_12,ND2710,91.25
BRK_12,BACUP,85.35
BRK_12,WHEATON,94.3666666667
BRK_13,SD4487,81.104166667
BRK_13,SD4518,80.85
BRK_13,SD4536,81.3125
BRK_13,SD4541,84.966666667
BRK_13,SD4544,83.4125
BRK_13,MN09157,83.695833333
BRK_13,MN10055,83.470833333
BRK_13,MN10285,85.31666666699999
BRK_13,MN10362,85.858333333
BRK_13,MN10368,85.920833333
BRK_13,12-14-147,86.470833333
BRK_13,12-14-158,81.095833333
BRK_13,12-14-172,88.1125
BRK_13,12-14-97,79.233333333
BRK_13,BRICK,91.225
BRK_13,2375,84.091666667
BRK_13,ND2710,90.6791666667
BRK_13,BACUP,84.0375
BRK_13,WHEATON,68.80833333300001
BRK_14,SD4504,82.19166666699999
BRK_14,SD4508,77.5
BRK_14,SD4510,76.166666667
BRK_14,SD4514,78.125
BRK_14,SD4546,84.85
BRK_14,MN10021,79.55
BRK_14,MN10388,73.5
BRK_14,MN11074,80.3
BRK_14,MN11397-1,66.716666667
BRK_14,MN11405,84.25
BRK_14,12-14-147,70.43333333300001
BRK_14,12-14-158,69.833333333
BRK_14,12-14-172,73.366666667
BRK_14,12-14-97,74.93333333300001
BRK_14,2375,70.166666667
BRK_14,ND2710,87.833333333
BRK_14,BACUP,69.5
BRK_14,WHEATON,78.7
BRK_15,BW483,53.0
BRK_15,BW485,52.833333333
BRK_15,BW499,67.133333333
BRK_15,BW961,57.333333333
BRK_15,MT1219,49.666666667
BRK_15,MT1337,53.0
BRK_15,MT1338,55.158333333
BRK_15,14-13-106,59.666666667
BRK_15,14-13-135,63.333333333
BRK_15,14-13-14,66.866666667
BRK_15,14-13-21,55.833333333
BRK_15,14-13-97,58.833333333
BRK_15,SD4559,65.0
BRK_15,SD4582,81.208333333
BRK_15,SD4595,71.725
BRK_15,SD4605,68.166666667
BRK_15,SD4607,58.833333333
BRK_15,MN11326-3,68.883333333
BRK_15,MN12265-1,65.30833333300001
BRK_15,MN12307-3,67.0
BRK_15,MN12423-5,76.68333333300001
BRK_15,MN12545-3,63.375
BRK_15,MT1316,57.0
BRK_15,2375,63.166666667
BRK_15,ND2710,69.725
BRK_15,BACUP,53.333333333
BRK_15,WHEATON,50.0
BRK_16,ND820,79.741666667
BRK_16,ND822,81.7125
BRK_16,ND824,82.0
BRK_16,SD4587,85.3875
BRK_16,SD4589,82.266666667
BRK_16,SD4621,84.15
BRK_16,SD4645,81.925
BRK_16,SD4675,78.329166667
BRK_16,IDO1403S,59.916666667
BRK_16,IDO1405S,62.166666667
BRK_16,IDO1601S,65.65
BRK_16,IDO1603S,60.666666667
BRK_16,UISTONE,66.775
BRK_16,LANG-MN,78.4875
BRK_16,MN11394-6,84.0
BRK_16,MN13056-7,86.12083333300001
BRK_16,MN13064-2,80.516666667
BRK_16,MN13515-8,83.479166667
BRK_16,ND-VITPRO,82.045833333
BRK_16,ND828,81.920833333
BRK_16,2375,76.1
BRK_16,ND2710,80.991666667
BRK_16,BACUP,73.508333333
BRK_16,WHEATON,56.1
BRK_17,ND830,85.8
BRK_17,ND833,83.8
BRK_17,NDHRS16-12-19,79.9
BRK_17,NDHRS16-12-31,84.7
BRK_17,NDHRS16-12-52,82.0
BRK_17,SD4691,85.8
BRK_17,SD4705,88.6
BRK_17,SD4710,86.3
BRK_17,SD4724,86.0
BRK_17,SD4741,87.7
BRK_17,MN13304-5,81.4
BRK_17,MN14138-4,85.3
BRK_17,MN14470-5,80.0
BRK_17,MN14669-1,76.8
BRK_17,2375,74.4
BRK_17,ND2710,84.5
BRK_17,BACUP,78.2
BRK_17,WHEATON,68.5
BRK_18,MT1673,73.6
BRK_18,NDHRS16-13-13,81.0
BRK_18,NDHRS16-13-89,79.4
BRK_18,NDHRS16-13-97,80.9
BRK_18,NDHRS16-14-12,82.9
BRK_18,NDHRS16-14-91,80.0
BRK_18,SD4756,78.5
BRK_18,SD4758,80.8
BRK_18,SD4787,83.1
BRK_18,SD4819,83.7
BRK_18,SD4822,76.1
BRK_18,MN15008-7,77.1
BRK_18,MN15029-8,80.2
BRK_18,MN15089-2,81.9
BRK_18,MN15219-2,80.9
BRK_18,MN15501-4,80.9
BRK_18,MT1621,70.0
BRK_18,2375,69.0
BRK_18,ND2710,84.9
BRK_18,BACUP,80.6
BRK_18,WHEATON,58.0
BRK_19,LANNING,76.1
BRK_19,MT1767,79.4
BRK_19,VIDA,73.6
BRK_19,NDHRS14-0136-C06,76.2
BRK_19,NDHRS16-14-36,75.2
BRK_19,NDHRS16-16-665,80.7
BRK_19,SD4740,75.9
BRK_19,SD4834,77.9
BRK_19,SD4859,77.3
BRK_19,SD4865,79.2
BRK_19,SD4868,80.2
BRK_19,MN15155-2,80.6
BRK_19,MN16028,77.6
BRK_19,MN16040,78.7
BRK_19,MN16262-3,81.2
BRK_19,MN16317-5,82.5
BRK_19,MT1621,66.3
BRK_19,NDHRS13-0170-0004,76.6
BRK_19,MT1716,75.2
BRK_19,ND-HERON,78.8
BRK_19,ND2710,82.5
BRK_19,BACUP,70.2
BRK_19,WHEATON,60.6
BRK_20,MT1775,72.2
BRK_20,MT1809,78.9
BRK_20,MT1866,70.2
BRK_20,MT1871,68.1
BRK_20,MT1872,77.0
BRK_20,NDHRS13-0114-C06,81.1
BRK_20,NDHRS13-0121-C05,84.3
BRK_20,NDHRS13-0215-C03,80.3
BRK_20,NDHRS13-0318-0003,81.2
BRK_20,SD4848,75.1
BRK_20,SD4917,80.2
BRK_20,SD4926,81.0
BRK_20,SD4947,68.6
BRK_20,SD4950,69.2
BRK_20,MN16103-1,80.2
BRK_20,MN16277-3,78.6
BRK_20,MN16340-8,78.8
BRK_20,MN16360-1,73.7
BRK_20,MN16408-5,76.2
BRK_20,NDHRS13-0170-0004,81.9
BRK_20,MT1855,62.9
BRK_20,MT1716,78.2
BRK_20,ND-HERON,80.8
BRK_20,ND2710,81.2
BRK_20,BACUP,76.9
BRK_20,WHEATON,56.3
BRK_21,MT2007,77.3
BRK_21,MT2013,74.2
BRK_21,MT2018,74.9
BRK_21,MT2022,79.2
BRK_21,NDHRS17DH-0467-056,75.3
BRK_21,SD4871,84.1
BRK_21,SD4933,83.0
BRK_21,SD4968,83.2
BRK_21,SD4976,79.3
BRK_21,SD4991,82.3
BRK_21,SD5012,85.7
BRK_21,MN17033-1,82.3
BRK_21,MN17038-5,76.1
BRK_21,MN17271-1,81.4
BRK_21,MN17332-2,80.7
BRK_21,MT1855,70.2
BRK_21,NDHRS13-0156-C04,77.5
BRK_21,NDHRS13-0177-0001,82.9
BRK_21,NDHRS13-0309-B03,82.5
BRK_21,NDHRS17-0596-B28,84.7
BRK_21,MT1716,77.2
BRK_21,ND2710,87.0
BRK_21,BACUP,81.3
BRK_21,WHEATON,58.7
BRK_22,MT21076,79.2
BRK_22,MT21082,67.3
BRK_22,MT21089,77.5
BRK_22,MT21091,78.3
BRK_22,MT21102,74.8
BRK_22,MT21111,72.7
BRK_22,SD4893,78.5
BRK_22,SD4924,70.3
BRK_22,SD5030,75.2
BRK_22,SD5038,75.2
BRK_22,SD5051,77.3
BRK_22,MN17065-2,78.7
BRK_22,MN18081-5,78.0
BRK_22,MN18163-5,76.0
BRK_22,MN18179-4,83.2
BRK_22,MN18292-3,76.3
BRK_22,NDHRS13-0156-C04,73.2
BRK_22,NDHRS13-0177-0001,77.7
BRK_22,NDHRS13-0309-B03,82.7
BRK_22,NDHRS17-0596-B28,78.5
BRK_22,ND2710,82.5
BRK_22,BACUP,76.3
BRK_22,WHEATON,64.7
BRK_23,MT21214,84.5
BRK_23,MT21222,83.1
BRK_23,MT21305,82.9
BRK_23,MT21352,79.4
BRK_23,MT21384,76.5
BRK_23,NDHRS15-0006-B02,91.5
BRK_23,NDHRS15-0006-C29,81.7
BRK_23,NDHRS15-0037-C52,85.6
BRK_23,NDHRS15-0405-C34,87.5
BRK_23,NDHRS16RIL-0190-019,86.4
BRK_23,SD5101,85.0
BRK_23,SD5117,81.9
BRK_23,SD5127,86.3
BRK_23,SD5132,86.7
BRK_23,SD5145,83.2
BRK_23,SD5159,83.8
BRK_23,MN18091-2,84.8
BRK_23,MN19114-3,85.2
BRK_23,MN19146-4,90.5
BRK_23,MN19257-1,88.0
BRK_23,MN20231-2,84.5
BRK_23,MT21220,87.0
BRK_23,ND2710,92.5
BRK_23,BACUP,87.0
BRK_23,WHEATON,74.7
BRK_24,AAC_HODGE,71.3
BRK_24,AAC_SPIKE,70.2
BRK_24,AAC_WESTKING,69.7
BRK_24,BW5095,59.8
BRK_24,HY2136,57.7
BRK_24,MT21224,53.5
BRK_24,MT22071,61.5
BRK_24,MT22345,44.0
BRK_24,MT22361,55.7
BRK_24,MT23004,56.7
BRK_24,MT23297,56.7
BRK_24,NDHRS18-0069-B077,75.0
BRK_24,NDHRS18-0105-B080,82.6
BRK_24,NDHRS18-0178-B057,67.0
BRK_24,NDHRS18-0180-B101,77.6
BRK_24,NDHRS18-0261-B234,73.1
BRK_24,NDHRS19RIL-0121-212-1,79.6
BRK_24,SD5050,67.2
BRK_24,SD5153,71.0
BRK_24,SD5158,81.8
BRK_24,SD5193,68.3
BRK_24,SD5195,75.9
BRK_24,SD5203,75.9
BRK_24,SD5223,76.7
BRK_24,MN19342-1,66.5
BRK_24,MN20080-3,69.7
BRK_24,MN20081-2,69.2
BRK_24,MN20171-1,73.5
BRK_24,MN20172-2,62.5
BRK_24,MT21220,56.3
BRK_24,ND2710,78.4
BRK_24,BACUP,61.2
BRK_24,WHEATON,41.8
BRK_97,ND691,45.5
BRK_97,PARSHALL,30.0
BRK_97,MN94346,55.2
BRK_97,MN95124,48.2
BRK_97,MN95211,57.8
BRK_97,SCHOLAR,34.2
BRK_97,MCVEY,37.3
BRK_97,D87-240,24.700000000000003
BRK_97,2375,34.0
BRK_97,ND2710,81.2
BRK_97,BACUP,77.2
BRK_97,WHEATON,21.299999999999997
BRK_98,LANGDON,22.700000000000003
BRK_98,BRIGGS,35.7
BRK_98,SD3345,23.299999999999997
BRK_98,MN97237,30.299999999999997
BRK_98,MN97762,22.0
BRK_98,MN97847,38.0
BRK_98,MCVEY,33.3
BRK_98,ND2891,40.0
BRK_98,2375,27.299999999999997
BRK_98,ND2710,56.0
BRK_98,BACUP,48.3
BRK_98,WHEATON,13.0
BRK_99,ACBARRIE,13.0
BRK_99,SD3310,61.0
BRK_99,SD3407,44.0
BRK_99,SD3414,55.0
BRK_99,MN97518,47.0
BRK_99,MN97596,32.0
BRK_99,MN97603,37.0
BRK_99,MN98068,34.0
BRK_99,MN98513,46.0
BRK_99,ND2891,52.0
BRK_99,2375,29.0
BRK_99,ND2710,66.0
BRK_99,BACUP,44.0
BRK_99,WHEATON,16.0
CRK_00,PI182561,92.2
CRK_00,PI382161,94.2
CRK_00,PI382167,92.0
CRK_00,PI81791,88.7
CRK_00,MN97039,74.7
CRK_00,MN97561,73.3
CRK_00,MN98037,82.5
CRK_00,MN98092,73.2
CRK_00,MN98208,65.5
CRK_00,MN98389,82.7
CRK_00,2375,67.0
CRK_00,ND2710,83.3
CRK_00,BACUP,80.2
CRK_00,WHEATON,52.7
CRK_01,PI104131,93.3
CRK_01,PI185380,89.7
CRK_01,PI349478,98.0
CRK_01,PI382140,86.4
CRK_01,MN99109,88.9
CRK_01,MN99112,91.1
CRK_01,MN99126,93.2
CRK_01,MN99192,95.0
CRK_01,MN99322,83.0
CRK_01,2375,74.3
CRK_01,ND2710,88.2
CRK_01,BACUP,94.9
CRK_01,WHEATON,71.4
CRK_03,BUCKAUSTRAL,42.1
CRK_03,KLEINCONDOR,36.1
CRK_03,ARTEMOWSKA,65.3
CRK_03,ALBIDUM43,63.0
CRK_03,SD3746,37.1
CRK_03,STEPNJACHKA,62.4
CRK_03,MN01116,90.1
CRK_03,MN01180,93.3
CRK_03,MN01281,87.9
CRK_03,MN99433-1,71.5
CRK_03,ND03_1-15,63.1
CRK_03,ND03_1-9,72.0
CRK_03,2375,57.3
CRK_03,ND2710,94.3
CRK_03,BACUP,69.7
CRK_03,WHEATON,30.5
CRK_04,MN00187-3,98.0
CRK_04,MN01164,88.0
CRK_04,MN01NIL84-5-5-15,96.1
CRK_04,MN99220-4,89.6667
CRK_04,MN99341-2-5,94.63333
CRK_04,ND03_1-15,61.1
CRK_04,ND03_1-9,86.5333
CRK_04,NDSW0345,59.0
CRK_04,RUGBY,59.7
CRK_04,2375,50.7
CRK_04,ND2710,96.43333
CRK_04,BACUP,77.3
CRK_04,WHEATON,18.533299999999997
CRK_07,ES101,23.0
CRK_07,MN03013-3-2,79.5
CRK_07,MN03191-2-1,54.5
CRK_07,NDSW0430,73.8
CRK_07,MN00209-3-1,86.6
CRK_07,MN02222-1,84.6
CRK_07,RUGBY,28.700000000000003
CRK_07,BRICK,89.6
CRK_07,2375,62.0
CRK_07,ND2710,95.1
CRK_07,BACUP,73.6
CRK_07,WHEATON,18.799999999999997
CRK_09,FOREFRONT,94.83333333333331
CRK_09,SD4011,91.0
CRK_09,SD4027,78.6
CRK_09,SELECT,94.1
CRK_09,MN05152-1-1,91.96666666666668
CRK_09,MN06049-1-3,94.96666666666668
CRK_09,MN06202-3-1,92.46666666666668
CRK_09,MN06213-6-2-4,88.3666666666667
CRK_09,MN06219-2-2,86.6
CRK_09,2375,83.3333333333333
CRK_09,ND2710,94.96666666666668
CRK_09,BACUP,91.36666666666667
CRK_09,WHEATON,32.1666666666667
CRK_10,MT09SCAB16,24.5
CRK_10,MT09SCAB3,55.1
CRK_10,MT09SCAB5,62.7
CRK_10,MT09SCAB9,57.8
CRK_10,FN09-17017,91.2
CRK_10,FN09-17210,93.0
CRK_10,FN09-17213,92.5
CRK_10,FN09-17270,96.4
CRK_10,FN09-17275,96.5
CRK_10,MN06216-6-2-4,92.1
CRK_10,MN07049-7-3,91.1
CRK_10,MN07183-3,85.0
CRK_10,ALSEN,75.9
CRK_10,2375,59.7
CRK_10,ND2710,90.6
CRK_10,BACUP,90.0
CRK_10,WHEATON,25.0
CRK_12,11EXP13-105,87.2
CRK_12,11EXP13-107,74.8
CRK_12,11EXP13-43,80.76666666666671
CRK_12,11EXP13-65,62.6
CRK_12,11EXP13-78,86.2
CRK_12,SD4361,85.2666666666667
CRK_12,SD4366,70.3666666666667
CRK_12,SD4388,71.9666666666667
CRK_12,SD4394,91.16666666666669
CRK_12,SD4397,92.13333333333333
CRK_12,MN08166,92.7
CRK_12,MN08173,78.2
CRK_12,MN09027,96.66666666666669
CRK_12,MN09071,72.56666666666669
CRK_12,MN09121,84.4333333333333
CRK_12,BW928,81.1666666666667
CRK_12,ALSEN,78.1
CRK_12,2375,60.4
CRK_12,ND2710,94.0
CRK_12,BACUP,87.1833333333333
CRK_12,WHEATON,28.716666666666697
CRK_13,SD4487,62.1
CRK_13,SD4518,59.95
CRK_13,SD4536,56.3
CRK_13,SD4541,64.1
CRK_13,SD4544,61.1
CRK_13,MN09157,91.6
CRK_13,MN10055,90.8
CRK_13,MN10285,95.2
CRK_13,MN10362,96.55
CRK_13,MN10368,81.45
CRK_13,12-14-147,83.8
CRK_13,12-14-158,71.5
CRK_13,12-14-172,77.25
CRK_13,12-14-97,79.8
CRK_13,ALSEN,74.2
CRK_13,2375,61.65
CRK_13,ND2710,93.5
CRK_13,BACUP,81.725
CRK_13,WHEATON,26.09999999999999
CRK_14,SD4504,87.7
CRK_14,SD4508,86.6
CRK_14,SD4510,86.5
CRK_14,SD4514,88.0
CRK_14,SD4546,87.65
CRK_14,MN10021,97.65
CRK_14,MN10388,95.1
CRK_14,MN11074,83.1
CRK_14,MN11397-1,86.85
CRK_14,MN11405,90.7
CRK_14,12-14-147,87.6
CRK_14,12-14-158,83.95
CRK_14,12-14-172,75.75
CRK_14,12-14-97,84.5
CRK_14,ALSEN,84.15
CRK_14,2375,60.65
CRK_14,ND2710,90.75
CRK_14,BACUP,86.1
CRK_14,WHEATON,40.45
CRK_15,14-13-106,70.65
CRK_15,14-13-135,90.55
CRK_15,14-13-14,65.55
CRK_15,14-13-21,86.75
CRK_15,14-13-97,71.3
CRK_15,SD4559,65.65
CRK_15,SD4582,88.15
CRK_15,SD4595,66.25
CRK_15,SD4605,58.65
CRK_15,SD4607,57.3
CRK_15,MN11326-3,87.0
CRK_15,MN12265-1,66.45
CRK_15,MN12307-3,85.05
CRK_15,MN12423-5,90.75
CRK_15,MN12545-3,84.1
CRK_15,ALSEN,61.0
CRK_15,2375,47.55
CRK_15,ND2710,90.25
CRK_15,BACUP,73.2
CRK_15,WHEATON,25.450000000000003
CRK_16,MT1348,36.65
CRK_16,MT1401,59.0
CRK_16,ND820,76.75
CRK_16,ND822,62.95
CRK_16,ND824,90.7
CRK_16,SD4587,90.1
CRK_16,SD4589,83.35
CRK_16,SD4621,77.9
CRK_16,SD4645,80.5
CRK_16,SD4675,87.35
CRK_16,IDO1403S,38.85
CRK_16,IDO1405S,5.0
CRK_16,IDO1601S,21.59999999999999
CRK_16,IDO1603S,21.75
CRK_16,UISTONE,52.2
CRK_16,LANG-MN,83.15
CRK_16,MN11394-6,90.25
CRK_16,MN13056-7,86.65
CRK_16,MN13064-2,81.45
CRK_16,MN13515-8,87.9
CRK_16,MT1316,79.15
CRK_16,ND-VITPRO,83.85
CRK_16,ND828,81.4
CRK_16,ALSEN,76.85
CRK_16,2375,67.1
CRK_16,ND2710,89.2
CRK_16,BACUP,80.7
CRK_16,WHEATON,15.450000000000005
CRK_17,ND830,80.05
CRK_17,ND833,75.45
CRK_17,NDHRS16-12-19,59.95
CRK_17,NDHRS16-12-31,83.85
CRK_17,NDHRS16-12-52,82.8
CRK_17,SD4691,90.95
CRK_17,SD4705,87.85
CRK_17,SD4710,88.3
CRK_17,SD4724,81.55
CRK_17,SD4741,78.55
CRK_17,MN13304-5,75.5
CRK_17,MN14138-4,86.85
CRK_17,MN14470-5,79.95
CRK_17,MN14669-1,88.05
CRK_17,ALSEN,82.95
CRK_17,2375,73.2
CRK_17,ND2710,90.5
CRK_17,BACUP,85.05
CRK_17,WHEATON,41.4
CRK_19,LANNING,66.2
CRK_19,MT1767,25.09999999999999
CRK_19,VIDA,51.75
CRK_19,NDHRS14-0136-C06,59.6
CRK_19,NDHRS16-14-36,68.95
CRK_19,NDHRS16-16-665,92.95
CRK_19,SD4740,66.95
CRK_19,SD4834,78.85
CRK_19,SD4859,79.85
CRK_19,SD4865,76.85
CRK_19,SD4868,67.8
CRK_19,MN15155-2,80.6
CRK_19,MN16028,64.8
CRK_19,MN16040,81.8
CRK_19,MN16262-3,84.25
CRK_19,MN16317-5,96.4
CRK_19,MT1621,45.35
CRK_19,NDHRS13-0170-0004,70.6
CRK_19,MT1716,55.1
CRK_19,ND-HERON,75.4
CRK_19,ALSEN,74.85
CRK_19,ND2710,89.05
CRK_19,BACUP,75.15
CRK_19,WHEATON,19.34999999999999
CRK_20,MT1775,59.8
CRK_20,MT1809,78.8
CRK_20,MT1866,85.25
CRK_20,MT1871,53.3
CRK_20,MT1872,62.8
CRK_20,NDHRS13-0114-C06,84.85
CRK_20,NDHRS13-0121-C05,73.65
CRK_20,NDHRS13-0215-C03,92.1
CRK_20,NDHRS13-0318-0003,82.15
CRK_20,SD4848,84.9
CRK_20,SD4917,80.2
CRK_20,SD4926,87.25
CRK_20,SD4947,91.15
CRK_20,SD4950,96.15
CRK_20,MN16103-1,87.65
CRK_20,MN16277-3,86.5
CRK_20,MN16340-8,80.7
CRK_20,MN16360-1,88.0
CRK_20,MN16408-5,88.65
CRK_20,NDHRS13-0170-0004,84.5
CRK_20,MT1855,62.9
CRK_20,MT1716,71.85
CRK_20,ND-HERON,71.65
CRK_20,ALSEN,83.9
CRK_20,ND2710,92.4
CRK_20,BACUP,92.3
CRK_20,WHEATON,51.85
CRK_22,MT21076,57.15
CRK_22,MT21082,27.59999999999999
CRK_22,MT21089,40.3
CRK_22,MT21091,59.25
CRK_22,MT21102,54.15
CRK_22,MT21111,60.9
CRK_22,SD4893,80.55
CRK_22,SD4924,80.65
CRK_22,SD5030,68.9
CRK_22,SD5038,61.65
CRK_22,SD5051,68.65
CRK_22,MN17065-2,77.85
CRK_22,MN18081-5,78.55
CRK_22,MN18163-5,84.6
CRK_22,MN18179-4,82.5
CRK_22,MN18292-3,80.55
CRK_22,NDHRS13-0156-C04,80.9
CRK_22,NDHRS13-0177-0001,77.4
CRK_22,NDHRS13-0309-B03,81.25
CRK_22,NDHRS17-0596-B28,72.0
CRK_22,ALSEN,82.65
CRK_22,ND2710,82.9
CRK_22,BACUP,91.25
CRK_22,WHEATON,33.75
CRK_24,AAC_HODGE,54.5
CRK_24,AAC_SPIKE,44.9
CRK_24,AAC_WESTKING,72.6
CRK_24,BW5095,76.93333333333331
CRK_24,HY2136,58.4
CRK_24,MT21224,34.599999999999994
CRK_24,MT22071,25.933333333333294
CRK_24,MT22345,37.0666666666667
CRK_24,MT22361,37.4
CRK_24,MT23004,27.766666666666698
CRK_24,MT23297,52.0
CRK_24,NDHRS18-0069-B077,73.4666666666667
CRK_24,NDHRS18-0105-B080,69.56666666666669
CRK_24,NDHRS18-0178-B057,47.4
CRK_24,NDHRS18-0180-B101,46.1666666666667
CRK_24,NDHRS18-0261-B234,54.6333333333333
CRK_24,NDHRS19RIL-0121-212-1,43.4666666666667
CRK_24,SD5050,34.566666666666706
CRK_24,SD5153,76.2
CRK_24,SD5158,55.6333333333333
CRK_24,SD5193,81.3333333333333
CRK_24,SD5195,65.8666666666667
CRK_24,SD5203,80.26666666666671
CRK_24,SD5223,70.56666666666669
CRK_24,MN19342-1,67.6333333333333
